利润率,记录数,制造商,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 Id,订单日期,邮寄方式,销售额
36%,1,KitchenAid,"KitchenAid 冰箱, 银色","￥2,664",2017/4/10,中国,中南,长沙,器具,彭绅,0%,3,湖南,办公用品,公司,CN-2017-3211633,2017/4/9,一级,"￥7,402"
-17%,1,Tenex,"Tenex 相框, 一包多件",-￥73,2014/10/28,中国,华东,杭州,用具,罗嫒,40%,3,浙江,家具,小型企业,US-2014-5294254,2014/10/28,当日,￥436
1%,1,Cameo,"Cameo 搭扣信封, 回收",￥2,2016/4/20,中国,西南,昭通,信封,袁保,0%,8,云南,办公用品,公司,CN-2016-3988119,2016/4/16,二级,￥310
18%,1,Safco,"SAFCO 折叠椅, 红色",￥144,2017/12/4,中国,东北,密山,椅子,杨健,0%,2,黑龙江,家具,消费者,CN-2017-3232413,2017/12/4,当日,￥800
0%,1,Tenex,"Tenex 文件夹, 工业",￥0,2017/12/4,中国,东北,密山,收纳具,杨健,0%,3,黑龙江,办公用品,消费者,CN-2017-3232413,2017/12/4,当日,￥332
26%,1,Enermax,"Enermax 笔记本, 每包 12 个",￥118,2017/12/4,中国,东北,密山,纸张,杨健,0%,3,黑龙江,办公用品,消费者,CN-2017-3232413,2017/12/4,当日,￥457
11%,1,Avery,"Avery 合法证物标签, 红色",￥17,2017/7/31,中国,华东,临朐,标签,陈安,0%,3,山东,办公用品,消费者,CN-2017-4680780,2017/7/24,标准级,￥156
27%,1,惠普,"惠普 墨水, 红色",￥160,2016/11/7,中国,东北,肇源,复印机,苏晒明,0%,1,黑龙江,技术,消费者,CN-2016-1190387,2016/11/4,一级,￥592
25%,1,Kleencut,"Kleencut 修剪器, 钢",￥95,2016/10/28,中国,西南,海口,用品,贺平,0%,2,云南,办公用品,消费者,CN-2016-3230180,2016/10/22,标准级,￥381
22%,1,Tenex,"Tenex 闹钟, 耐用",￥242,2016/10/28,中国,西南,海口,用具,贺平,0%,5,云南,家具,消费者,CN-2016-3230180,2016/10/22,标准级,"￥1,103"
10%,1,GlobeWeis,"GlobeWeis 马尼拉纸信封, 银色",￥14,2016/10/28,中国,西南,海口,信封,贺平,0%,1,云南,办公用品,消费者,CN-2016-3230180,2016/10/22,标准级,￥139
7%,1,Breville,"Breville 微波炉, 银色","￥1,086",2015/10/20,中国,东北,肇源,器具,施丽丽,0%,11,黑龙江,办公用品,公司,CN-2015-5873075,2015/10/15,二级,"￥15,526"
10%,1,GlobeWeis,"GlobeWeis 马尼拉纸信封, 银色",￥28,2016/9/20,中国,中南,襄城,信封,贺斯云,0%,2,河南,办公用品,消费者,CN-2016-4544243,2016/9/18,一级,￥278
38%,1,Harbour Creations,"Harbour Creations 扶手椅, 红色",￥751,2016/9/20,中国,中南,襄城,椅子,贺斯云,10%,1,河南,家具,消费者,CN-2016-4544243,2016/9/18,一级,"￥1,989"
21%,1,Sanford,"Sanford 荧光笔, 蓝色",￥50,2015/12/10,中国,东北,鹤岗,美术,秦淑芳,20%,4,黑龙江,办公用品,公司,CN-2015-5173564,2015/12/5,标准级,￥235
20%,1,Acme,"Acme 剪刀, 工业",￥76,2017/5/11,中国,华北,天津,用品,顾丹,0%,3,天津,办公用品,公司,CN-2017-4862116,2017/5/6,二级,￥379
-3%,1,三星,"三星 办公室电话机, 全尺寸",-￥38,2016/5/7,中国,华东,温州,电话,康丽,40%,6,浙江,技术,消费者,US-2016-2560726,2016/5/2,标准级,"￥1,117"
26%,1,Deflect-O,"Deflect-O 门挡, 优质",￥155,2017/11/3,中国,东北,四平,用具,秦宁,0%,3,吉林,家具,消费者,CN-2017-4950934,2017/10/29,标准级,￥596
42%,1,Stockwell,"Stockwell 橡皮筋, 混合尺寸",￥55,2017/11/3,中国,东北,四平,系固件,秦宁,0%,2,吉林,办公用品,消费者,CN-2017-4950934,2017/10/29,标准级,￥130
14%,1,思科,"思科 耳机, 混合尺寸",￥298,2017/5/20,中国,西南,安顺,电话,贺宁,0%,5,贵州,技术,消费者,CN-2017-2866628,2017/5/14,标准级,"￥2,130"
29%,1,Rogers,"Rogers 文件夹, 单宽度",￥207,2017/5/20,中国,西南,安顺,收纳具,贺宁,0%,5,贵州,办公用品,消费者,CN-2017-2866628,2017/5/14,标准级,￥717
20%,1,罗技,"罗技 闪存驱动器, 可编程",￥60,2017/5/20,中国,西南,安顺,配件,贺宁,0%,2,贵州,技术,消费者,CN-2017-2866628,2017/5/14,标准级,￥299
21%,1,Brother,"Brother 墨水, 红色",￥285,2015/5/24,中国,华东,高密,复印机,巩安,0%,2,山东,技术,小型企业,CN-2015-2810282,2015/5/20,标准级,"￥1,358"
13%,1,Stockwell,"Stockwell 订书钉, 整包",￥4,2017/5/11,中国,东北,抚顺,系固件,田谙,40%,1,辽宁,办公用品,消费者,CN-2017-3381572,2017/5/11,当日,￥30
42%,1,Eaton,"Eaton 信纸, 优质",￥442,2017/5/11,中国,东北,抚顺,纸张,田谙,0%,5,辽宁,办公用品,消费者,CN-2017-3381572,2017/5/11,当日,"￥1,054"
-52%,1,Breville,"Breville 咖啡研磨机, 银色",-￥181,2017/5/11,中国,东北,抚顺,器具,田谙,40%,2,辽宁,办公用品,消费者,CN-2017-3381572,2017/5/11,当日,￥351
19%,1,Eldon,"Eldon 盒, 工业",￥48,2017/5/11,中国,东北,抚顺,收纳具,田谙,0%,5,辽宁,办公用品,消费者,CN-2017-3381572,2017/5/11,当日,￥251
-30%,1,Hamilton Beach,"Hamilton Beach 炉灶, 白色","-￥2,270",2017/5/11,中国,东北,抚顺,器具,田谙,40%,5,辽宁,办公用品,消费者,CN-2017-3381572,2017/5/11,当日,"￥7,567"
-65%,1,松下,"松下 收据打印机, 白色",-￥652,2017/5/11,中国,东北,抚顺,设备,田谙,40%,3,辽宁,技术,消费者,CN-2017-3381572,2017/5/11,当日,"￥1,002"
-5%,1,苹果,"苹果 信号增强器, 混合尺寸",-￥39,2017/5/11,中国,东北,抚顺,电话,田谙,40%,2,辽宁,技术,消费者,CN-2017-3381572,2017/5/11,当日,￥781
-17%,1,Eldon,"Eldon 分层置放架, 耐用",-￥53,2017/5/11,中国,东北,抚顺,用具,田谙,40%,4,辽宁,家具,消费者,CN-2017-3381572,2017/5/11,当日,￥320
0%,1,Novimex,"Novimex 沙滩椅, 红色",￥0,2017/5/11,中国,东北,抚顺,椅子,田谙,40%,3,辽宁,家具,消费者,CN-2017-3381572,2017/5/11,当日,￥386
-7%,1,Wilson Jones,"Wilson Jones 装订机, 回收",-￥5,2017/5/11,中国,东北,抚顺,装订机,田谙,40%,2,辽宁,办公用品,消费者,CN-2017-3381572,2017/5/11,当日,￥75
19%,1,Boston,"Boston 记号笔, 蓝色",￥55,2016/11/4,中国,东北,洮南,美术,徐蔓楚,20%,3,吉林,办公用品,公司,CN-2016-2491194,2016/10/30,标准级,￥295
29%,1,惠普,"惠普 传真复印机, 红色",￥694,2015/3/25,中国,西北,西安,复印机,巩虢,0%,3,陕西,技术,公司,CN-2015-5591357,2015/3/22,二级,"￥2,395"
44%,1,Smead,"Smead 运输标签, 红色",￥23,2017/2/16,中国,西南,德阳,标签,陈丽雪,0%,1,四川,办公用品,公司,CN-2017-5816959,2017/2/11,标准级,￥53
12%,1,Ames,"Ames 商业信封, 每套 50 个",￥24,2017/2/16,中国,西南,德阳,信封,陈丽雪,0%,3,四川,办公用品,公司,CN-2017-5816959,2017/2/11,标准级,￥205
-27%,1,Wilson Jones,"Wilson Jones 订书机, 透明",-￥290,2017/2/16,中国,西南,德阳,装订机,陈丽雪,40%,8,四川,办公用品,公司,CN-2017-5816959,2017/2/11,标准级,"￥1,085"
21%,1,Chromcraft,"Chromcraft 木桌, 组装","￥1,807",2016/3/3,中国,华北,运城,桌子,佘凤,25%,5,山西,家具,公司,CN-2016-1122727,2016/2/27,标准级,"￥8,470"
26%,1,贝尔金,"贝尔金 记忆卡, 耐用",￥418,2017/5/11,中国,中南,浯溪,配件,曾惠,0%,3,湖南,技术,公司,CN-2017-3122639,2017/5/8,一级,"￥1,610"
-32%,1,Barricks,"Barricks 圆桌, 长方形","-￥2,236",2017/5/11,中国,中南,浯溪,桌子,曾惠,25%,4,湖南,家具,公司,CN-2017-3122639,2017/5/8,一级,"￥6,987"
19%,1,Eldon,"Eldon 盒, 工业",￥48,2016/8/22,中国,华东,杭州,收纳具,谢聪,0%,5,浙江,办公用品,消费者,CN-2016-2866628,2016/8/18,标准级,￥251
4%,1,松下,"松下 喷墨打印机, 耐用",￥116,2016/5/26,中国,华东,南昌,设备,田妮,0%,2,江西,技术,小型企业,CN-2016-2062805,2016/5/22,标准级,"￥2,914"
-10%,1,Cuisinart,"Cuisinart 咖啡研磨机, 白色",-￥52,2017/9/16,中国,东北,鞍山,器具,严诚,40%,5,辽宁,办公用品,公司,US-2017-5448418,2017/9/11,标准级,￥515
-47%,1,摩托罗拉,"摩托罗拉 充电器, 混合尺寸","-￥2,531",2017/9/16,中国,东北,鞍山,电话,严诚,40%,3,辽宁,技术,公司,US-2017-5448418,2017/9/11,标准级,"￥5,423"
39%,1,OIC,"OIC 夹子, 每包 12 个",￥105,2017/6/23,中国,中南,深圳,系固件,姚柏,0%,3,广东,办公用品,消费者,CN-2017-3022026,2017/6/19,标准级,￥269
7%,1,Ames,"Ames 外皮和封条, 银色",￥14,2014/9/14,中国,西北,兰州,信封,许绅,0%,2,甘肃,办公用品,消费者,CN-2014-1928578,2014/9/13,一级,￥197
5%,1,Stockwell,"Stockwell 图钉, 每包 12 个",￥17,2014/9/14,中国,西北,兰州,系固件,许绅,40%,10,甘肃,办公用品,消费者,CN-2014-1928578,2014/9/13,一级,￥352
-50%,1,Wilson Jones,"Wilson Jones 标签, 耐用",-￥34,2014/9/14,中国,西北,兰州,装订机,许绅,40%,3,甘肃,办公用品,消费者,CN-2014-1928578,2014/9/13,一级,￥67
36%,1,Hewlett,"Hewlett 复印机, 红色","￥2,639",2014/11/12,中国,中南,廉洲,复印机,彭雯,0%,6,广东,技术,消费者,CN-2014-2648094,2014/11/7,标准级,"￥7,332"
43%,1,诺基亚,"诺基亚 音频基座, 混合尺寸","￥1,361",2014/11/12,中国,中南,廉洲,电话,彭雯,0%,4,广东,技术,消费者,CN-2014-2648094,2014/11/7,标准级,"￥3,166"
20%,1,Enermax,"Enermax 备忘录便条, 优质",￥29,2015/5/18,中国,华北,石家庄,纸张,徐关茵,0%,2,河北,办公用品,公司,CN-2015-5172330,2015/5/12,标准级,￥146
-52%,1,Accos,"Accos 夹子, 整包",-￥84,2014/12/31,中国,华北,包头,系固件,苏冬露,40%,3,内蒙古,办公用品,小型企业,US-2014-1900777,2014/12/26,标准级,￥163
-28%,1,Avery,"Avery 孔加固材料, 透明",-￥9,2014/12/31,中国,华北,包头,装订机,苏冬露,40%,3,内蒙古,办公用品,小型企业,US-2014-1900777,2014/12/26,标准级,￥33
29%,1,Rogers,"Rogers 文件夹, 单宽度",￥83,2014/12/31,中国,华北,包头,收纳具,苏冬露,0%,2,内蒙古,办公用品,小型企业,US-2014-1900777,2014/12/26,标准级,￥287
44%,1,Tenex,"Tenex 盘, 工业",￥561,2014/12/31,中国,华北,包头,收纳具,苏冬露,0%,5,内蒙古,办公用品,小型企业,US-2014-1900777,2014/12/26,标准级,"￥1,276"
44%,1,GlobeWeis,"GlobeWeis 局间信封, 红色",￥527,2014/12/31,中国,华北,包头,信封,苏冬露,0%,5,内蒙古,办公用品,小型企业,US-2014-1900777,2014/12/26,标准级,"￥1,198"
12%,1,松下,"松下 收据打印机, 多色",￥39,2014/12/31,中国,华北,包头,设备,苏冬露,40%,1,内蒙古,技术,小型企业,US-2014-1900777,2014/12/26,标准级,￥339
14%,1,Boston,"Boston 钢笔, 混合尺寸",￥9,2015/3/12,中国,东北,哈尔滨,美术,黄丽,20%,1,黑龙江,办公用品,消费者,CN-2015-2831197,2015/3/7,标准级,￥65
34%,1,Kleencut,"Kleencut 美工刀, 锯齿状",￥149,2015/3/12,中国,东北,哈尔滨,用品,黄丽,0%,3,黑龙江,办公用品,消费者,CN-2015-2831197,2015/3/7,标准级,￥439
-20%,1,Enermax,"Enermax 记忆卡, 实惠",-￥257,2017/5/18,中国,中南,武汉,配件,万刚,40%,4,湖北,技术,公司,US-2017-3405401,2017/5/13,标准级,"￥1,281"
-28%,1,Barricks,"Barricks 电脑桌, 长方形",-￥732,2016/6/24,中国,华东,苏州,桌子,毛升,60%,3,江苏,家具,小型企业,US-2016-3065733,2016/6/19,标准级,"￥2,662"
-22%,1,Safco,"SAFCO 扶手椅, 黑色",-￥557,2014/2/5,中国,西南,成都,椅子,贺丹,40%,2,四川,家具,消费者,US-2014-3069391,2014/2/1,标准级,"￥2,570"
17%,1,贝尔金,"贝尔金 键盘, 实惠",￥157,2014/2/5,中国,西南,成都,配件,贺丹,40%,4,四川,技术,消费者,US-2014-3069391,2014/2/1,标准级,￥939
45%,1,Avery,"Avery 可去除的标签, 可调",￥72,2015/1/8,中国,华北,廊坊,标签,黄丽,0%,4,河北,办公用品,消费者,CN-2015-3065733,2015/1/3,二级,￥161
27%,1,Acco,"Acco 订书机, 耐用",￥132,2017/5/1,中国,华东,上海,装订机,常盛,0%,2,上海,办公用品,消费者,CN-2017-1628412,2017/4/29,二级,￥491
48%,1,施乐,"施乐 信纸, 多色",￥727,2017/5/26,中国,华北,集宁,纸张,周诚,0%,7,内蒙古,办公用品,公司,CN-2017-2828219,2017/5/22,标准级,"￥1,515"
12%,1,诺基亚,"诺基亚 充电器, 混合尺寸","￥1,043",2017/5/26,中国,华北,集宁,电话,周诚,40%,5,内蒙古,技术,公司,CN-2017-2828219,2017/5/22,标准级,"￥8,945"
-62%,1,贝尔金,"贝尔金 闪存驱动器, 回收",-￥550,2016/12/3,中国,中南,枝江,配件,傅晨,40%,8,湖北,技术,公司,US-2016-4870971,2016/11/29,标准级,￥890
13%,1,诺基亚,"诺基亚 智能手机, 混合尺寸",￥188,2016/12/3,中国,中南,枝江,电话,傅晨,40%,4,湖北,技术,公司,US-2016-4870971,2016/11/29,标准级,"￥1,411"
-57%,1,Kleencut,"Kleencut 开信刀, 钢",-￥379,2015/4/2,中国,西北,肃州,用品,彭丽雪,40%,9,甘肃,办公用品,小型企业,US-2015-5033587,2015/3/26,标准级,￥667
48%,1,Fellowes,"Fellowes 锁柜, 工业","￥1,396",2015/4/2,中国,西北,肃州,收纳具,彭丽雪,0%,3,甘肃,办公用品,小型企业,US-2015-5033587,2015/3/26,标准级,"￥2,909"
14%,1,Harbour Creations,"Harbour Creations 运输标签, 可调",￥6,2016/4/12,中国,华东,潍坊,标签,贾柏,0%,1,山东,办公用品,小型企业,CN-2016-5339863,2016/4/10,一级,￥44
32%,1,Tenex,"Tenex 盒, 金属",￥70,2016/4/12,中国,华东,潍坊,收纳具,贾柏,0%,3,山东,办公用品,小型企业,CN-2016-5339863,2016/4/10,一级,￥218
50%,1,Avery,"Avery 标签, 实惠",￥74,2016/8/7,中国,华东,潍坊,装订机,陈健,0%,5,山东,办公用品,公司,CN-2016-2995973,2016/8/5,二级,￥148
26%,1,Acco,"Acco 标签, 耐用",￥49,2016/8/7,中国,华东,潍坊,装订机,陈健,0%,4,山东,办公用品,公司,CN-2016-2995973,2016/8/5,二级,￥188
6%,1,Enermax,"Enermax 鼠标, 可编程",￥23,2016/8/7,中国,华东,潍坊,配件,陈健,0%,2,山东,技术,公司,CN-2016-2995973,2016/8/5,二级,￥390
8%,1,SanDisk,"SanDisk 闪存驱动器, 回收",￥28,2016/10/28,中国,中南,河源,配件,赵德伟,0%,2,广东,技术,消费者,CN-2016-3266914,2016/10/26,一级,￥349
15%,1,Stiletto,"Stiletto 大剪刀, 工业",￥69,2016/10/28,中国,中南,河源,用品,赵德伟,0%,2,广东,办公用品,消费者,CN-2016-3266914,2016/10/26,一级,￥464
33%,1,Enermax,"Enermax 键盘, 回收",￥375,2016/10/28,中国,中南,河源,配件,赵德伟,0%,3,广东,技术,消费者,CN-2016-3266914,2016/10/26,一级,"￥1,138"
12%,1,Novimex,"Novimex 运输标签, 可调",￥34,2016/10/28,中国,中南,河源,标签,赵德伟,0%,7,广东,办公用品,消费者,CN-2016-3266914,2016/10/26,一级,￥290
-19%,1,BIC,"BIC 铅笔刀, 金属",-￥43,2014/2/3,中国,东北,朗乡,美术,范晒明,20%,2,黑龙江,办公用品,消费者,US-2014-1255631,2014/1/30,二级,￥226
31%,1,Kleencut,"Kleencut 剪刀, 锯齿状",￥110,2014/2/3,中国,东北,朗乡,用品,范晒明,0%,4,黑龙江,办公用品,消费者,US-2014-1255631,2014/1/30,二级,￥354
47%,1,Novimex,"Novimex 运输标签, 白色",￥72,2014/2/3,中国,东北,朗乡,标签,范晒明,0%,3,黑龙江,办公用品,消费者,US-2014-1255631,2014/1/30,二级,￥154
20%,1,罗技,"罗技 闪存驱动器, 可编程",￥149,2014/2/3,中国,东北,朗乡,配件,范晒明,0%,5,黑龙江,技术,消费者,US-2014-1255631,2014/1/30,二级,￥747
26%,1,Acco,"Acco 标签, 耐用",￥37,2014/2/3,中国,东北,朗乡,装订机,范晒明,0%,3,黑龙江,办公用品,消费者,US-2014-1255631,2014/1/30,二级,￥141
31%,1,Breville,"Breville 炉灶, 红色","￥1,625",2014/2/3,中国,东北,朗乡,器具,范晒明,0%,2,黑龙江,办公用品,消费者,US-2014-1255631,2014/1/30,二级,"￥5,241"
3%,1,Office Star,"Office Star 摇椅, 每套两件",￥80,2014/2/3,中国,东北,朗乡,椅子,范晒明,0%,4,黑龙江,家具,消费者,US-2014-1255631,2014/1/30,二级,"￥2,672"
11%,1,罗技,"罗技 记忆卡, 可编程",￥215,2014/2/3,中国,东北,朗乡,配件,范晒明,0%,4,黑龙江,技术,消费者,US-2014-1255631,2014/1/30,二级,"￥1,958"
7%,1,松下,"松下 电话, 白色",￥81,2016/11/13,中国,中南,平顶山,设备,巩德,0%,3,河南,技术,小型企业,CN-2016-3253076,2016/11/9,标准级,"￥1,166"
40%,1,摩托罗拉,"摩托罗拉 信号增强器, 全尺寸","￥2,965",2016/11/13,中国,中南,平顶山,电话,巩德,0%,11,河南,技术,小型企业,CN-2016-3253076,2016/11/9,标准级,"￥7,414"
-40%,1,摩托罗拉,"摩托罗拉 办公室电话机, 混合尺寸",-￥251,2014/9/24,中国,华北,呼和浩特,电话,沈彩,40%,3,内蒙古,技术,消费者,US-2014-5555490,2014/9/19,二级,￥627
41%,1,Smead,"Smead 有色标签, 耐用",￥26,2014/9/24,中国,华北,呼和浩特,标签,沈彩,0%,1,内蒙古,办公用品,消费者,US-2014-5555490,2014/9/19,二级,￥63
8%,1,贝尔金,"贝尔金 鼠标, 可编程",￥94,2017/7/23,中国,西南,重庆,配件,洪梦,0%,6,重庆,技术,公司,CN-2017-4159546,2017/7/21,一级,"￥1,182"
13%,1,Acco,"Acco 标签, 回收",￥11,2017/7/23,中国,西南,重庆,装订机,洪梦,0%,2,重庆,办公用品,公司,CN-2017-4159546,2017/7/21,一级,￥83
33%,1,诺基亚,"诺基亚 充电器, 整包","￥4,898",2017/7/23,中国,西南,重庆,电话,洪梦,0%,5,重庆,技术,公司,CN-2017-4159546,2017/7/21,一级,"￥14,844"
3%,1,Novimex,"Novimex 可去除的标签, 可调",￥2,2014/3/27,中国,西南,遂宁,标签,郭冬露,0%,2,四川,办公用品,消费者,CN-2014-3174894,2014/3/22,二级,￥73
15%,1,Fiskars,"Fiskars 尺子, 工业",￥22,2014/12/21,中国,华北,秦皇岛,用品,白忠,0%,2,河北,办公用品,消费者,CN-2014-5340374,2014/12/17,标准级,￥150
35%,1,Rogers,"Rogers 盘, 蓝色",￥302,2016/11/18,中国,中南,珠海,收纳具,贾丹,0%,3,广东,办公用品,消费者,CN-2016-2862017,2016/11/15,一级,￥864
-53%,1,Bush,"Bush 书库, 金属","-￥1,087",2016/2/6,中国,东北,新民,书架,曹诚,40%,2,辽宁,家具,公司,CN-2016-2045726,2016/2/1,标准级,"￥2,037"
20%,1,Avery,"Avery 圆形标签, 红色",￥19,2016/11/13,中国,华北,临汾,标签,白立,0%,3,山西,办公用品,公司,CN-2016-2662386,2016/11/11,二级,￥97
-42%,1,Hoover,"Hoover 炉灶, 红色","-￥1,327",2017/8/9,中国,东北,丹东,器具,范彩,40%,2,辽宁,办公用品,公司,US-2017-3189070,2017/8/5,标准级,"￥3,183"
-48%,1,Advantus,"Advantus 夹子, 混合尺寸",-￥68,2016/7/5,中国,华北,满洲里,系固件,贾君,40%,3,内蒙古,办公用品,消费者,US-2016-3585437,2016/7/3,一级,￥141
-62%,1,Acco,"Acco 打孔机, 实惠",-￥52,2016/7/5,中国,华北,满洲里,装订机,贾君,40%,1,内蒙古,办公用品,消费者,US-2016-3585437,2016/7/3,一级,￥84
2%,1,苹果,"苹果 智能手机, 全尺寸",￥17,2016/12/15,中国,华东,徐州,电话,倪芬,40%,3,江苏,技术,小型企业,CN-2016-4347413,2016/12/9,标准级,"￥1,047"
11%,1,Harbour Creations,"Harbour Creations 可去除的标签, 可调",￥25,2015/7/23,中国,华东,莱州,标签,白斯云,0%,6,山东,办公用品,消费者,CN-2015-1255631,2015/7/19,标准级,￥231
5%,1,思科,"思科 信号增强器, 整包",￥142,2015/7/23,中国,华东,莱州,电话,白斯云,0%,4,山东,技术,消费者,CN-2015-1255631,2015/7/19,标准级,"￥2,836"
11%,1,Green Bar,"Green Bar 笔记本, 每包 12 个",￥52,2014/10/7,中国,东北,开原,纸张,薛婷,0%,3,辽宁,办公用品,消费者,CN-2014-4590873,2014/10/3,二级,￥475
2%,1,Rogers,"Rogers 搁板, 工业",￥11,2014/10/7,中国,东北,开原,收纳具,薛婷,0%,2,辽宁,办公用品,消费者,CN-2014-4590873,2014/10/3,二级,￥584
-17%,1,StarTech,"StarTech 打印机, 白色",-￥357,2016/10/7,中国,中南,钟祥,设备,贾廉,40%,3,湖北,技术,消费者,US-2016-1815663,2016/10/4,二级,"￥2,138"
18%,1,Avery,"Avery 合法证物标签, 可调",￥31,2016/10/7,中国,中南,钟祥,标签,贾廉,0%,4,湖北,办公用品,消费者,US-2016-1815663,2016/10/4,二级,￥172
-52%,1,Kleencut,"Kleencut 剪刀, 钢",-￥31,2016/10/7,中国,中南,钟祥,用品,贾廉,40%,1,湖北,办公用品,消费者,US-2016-1815663,2016/10/4,二级,￥61
21%,1,OIC,"OIC 图钉, 整包",￥82,2015/1/20,中国,西北,西安,系固件,廖宣,0%,6,陕西,办公用品,消费者,CN-2015-3694355,2015/1/16,标准级,￥394
40%,1,松下,"松下 打印机, 白色","￥1,483",2017/10/8,中国,华东,南昌,设备,唐安,0%,3,江西,技术,消费者,CN-2017-2577941,2017/10/5,一级,"￥3,709"
2%,1,Enermax,"Enermax 鼠标, 回收",￥7,2017/10/8,中国,华东,南昌,配件,唐安,0%,2,江西,技术,消费者,CN-2017-2577941,2017/10/5,一级,￥356
46%,1,Stockwell,"Stockwell 按钉, 金属",￥121,2016/3/6,中国,东北,哈尔滨,系固件,段杰,0%,4,黑龙江,办公用品,公司,CN-2016-2662386,2016/3/4,二级,￥263
0%,1,思科,"思科 办公室电话机, 全尺寸",￥0,2016/3/6,中国,东北,哈尔滨,电话,段杰,0%,7,黑龙江,技术,公司,CN-2016-2662386,2016/3/4,二级,"￥2,671"
-33%,1,Elite,"Elite 剪刀, 工业",-￥68,2015/5/14,中国,西南,潼川,用品,徐虢,40%,3,四川,办公用品,公司,US-2015-1388500,2015/5/10,标准级,￥203
6%,1,Jiffy,"Jiffy 局间信封, 红色",￥28,2017/4/20,中国,东北,泰康,信封,余丽娜,0%,2,黑龙江,办公用品,消费者,CN-2017-2203847,2017/4/20,当日,￥466
